Li,DEPTHUPPER
70.0,6.194999999999999
110.0,9.735
50.0,4.425
80.0,7.08
100.0,8.85
160.0,14.16
80.0,7.08
90.0,7.965
140.0,12.389999999999999
170.0,15.045
130.0,11.504999999999999
544.7175,6155.0
543.8325,6145.0
543.39,6140.0
371.7,4200.0
332.58299999999997,3758.0
323.4675,3655.0
100.0,8.85
110.0,4425.0
100.0,8.85
100.0,8.85
125.847,1422.0
40.0,3.54
80.0,7.08
140.0,12.389999999999999
70.0,6.194999999999999
120.0,10.62
150.0,13.274999999999999
90.0,7.965
150.0,13.274999999999999
70.0,6.194999999999999
130.0,11.504999999999999
90.0,7.965
40.0,3.54
100.0,8.85
100.0,8.85
150.0,13.274999999999999
60.0,5.31
222.31199999999998,2512.0
177.4425,2005.0
340.28249999999997,3845.0
217.70999999999998,2460.0
356.2125,4025.0
339.22049999999996,3833.0
313.5555,3543.0
276.828,3128.0
65.0475,735.0
317.892,3592.0
244.5255,2763.0
277.9785,3141.0
281.60699999999997,3182.0
294.705,3330.0
287.35949999999997,3247.0
293.643,3318.0
260.89799999999997,2948.0
301.431,3406.0
292.4925,3305.0
298.42199999999997,3372.0
138.06,1560.0
18.9,6250.0
4.66,5782.0
4.42,5973.0
17.0,8940.0
15.6,5987.0
24.6,6250.0
5.23,5742.0
4.45,5800.0
16.3,5797.0
5.11,0.452235
5.03,5750.0
5.23,5890.0
4.87,5786.0
4.54,5933.0
4.61,5950.0
4.68,5957.0
7.88,6255.0
4.75,5817.0
13.2,7143.0
16.5,1.4602499999999998
5.7,0.50445
11.0,5300.0
4.94,5937.0
4.9,5937.0
7.68,5926.0
7.78,5926.0
0.08059999847,0.007133099864595
0.06290000153,0.005566650135405
0.06609999847,0.0058498498645950005
0.06590000153,0.005832150135405
0.05559999847,0.004920599864595
0.0445,0.00393825
0.009619999886,0.0008513699899109999
0.03990000153,0.003531150135405
0.04070000076,0.0036019500672599997
0.007099999905,0.0006283499915925
0.007389999866,0.000654014988141
0.0319,0.0028231499999999995
0.0417,0.00369045
0.0552,0.004885199999999999
0.038,0.0033629999999999997
0.0224,0.0019824
216.648,2448.0
220.63049999999998,2493.0
214.2585,2421.0
213.993,2418.0
211.338,2388.0
209.922,2372.0
328.4235,3711.0
327.5385,3701.0
